N,bits,seed,params,mse,nmse,best_nmse,steps,success
16,8,0,82464,2.32882139243884e-05,2.4199890547048112e-05,2.4199890547048112e-05,101,True
16,8,1,82464,1.9229464669479057e-05,1.8554358799511114e-05,1.8554358799511114e-05,101,True
16,8,2,82464,2.3216012777993456e-05,2.1468854183719347e-05,2.1468854183719347e-05,101,True
24,8,0,82464,4.036839527543634e-05,4.1132350758722826e-05,4.1132350758722826e-05,101,True
24,8,1,82464,3.863717574859038e-05,3.7274476469796156e-05,3.7274476469796156e-05,101,True
24,8,2,82464,4.239556074026041e-05,3.9003253599080076e-05,3.9003253599080076e-05,101,True
36,8,0,82464,0.00011673991684801877,0.00011908055024833658,0.00011908055024833658,101,True
36,8,1,82464,8.264498319476843e-05,8.558122249491188e-05,8.558122249491188e-05,101,True
36,8,2,82464,8.877529762685299e-05,8.174339068617626e-05,8.174339068617626e-05,101,True
54,8,0,82464,0.00036771403392776847,0.0003606152264057272,0.0003606152264057272,101,True
54,8,1,82464,0.0001940910442499444,0.00019619043141635238,0.00019619043141635238,101,True
54,8,2,82464,0.00024175943690352142,0.0002365084171091882,0.0002365084171091882,101,True
81,8,0,82464,0.0004901044303551316,0.0004882553293407651,0.0004882553293407651,101,True
81,8,1,82464,0.0007161957328207791,0.0007316566150943366,0.0007316566150943366,101,True
81,8,2,82464,0.00050511141307652,0.0004977816525831344,0.0004977816525831344,101,True
122,8,0,82464,0.0009638260817155242,0.000954548695626859,0.000954548695626859,101,True
122,8,1,82464,0.0004169453168287873,0.0004223051272800588,0.0004223051272800588,201,True
122,8,2,82464,0.0009268122958019376,0.000923314345972508,0.000923314345972508,101,True
183,8,0,82464,0.0008325001690536737,0.0008355637304776223,0.0008355637304776223,401,True
183,8,1,82464,0.0008131741778925061,0.0008336795384728348,0.0008336795384728348,401,True
183,8,2,82464,0.000926522770896554,0.0009443623033400793,0.0009443623033400793,601,True
275,8,0,82464,0.0005323850782588124,0.0005339540114413539,0.0005339540114413539,3401,True
275,8,1,82464,0.0008697126759216189,0.0008738045619290049,0.0008738045619290049,1701,True
275,8,2,82464,0.0009537394507788122,0.0009664319951593088,0.0009664319951593088,2901,True
413,8,0,82464,0.0027020666748285294,0.0026795084333890344,0.0014260207027546286,5000,False
413,8,1,82464,0.002532355720177293,0.0025446652680655105,0.0016131819437167705,5000,False
413,8,2,82464,0.0019244098803028464,0.001957771620256628,0.0018299042910188516,5000,False
620,8,0,82464,0.005119101610034704,0.005136602328007523,0.00454967103875697,5000,False
620,8,1,82464,0.006924624554812908,0.006863750414148639,0.003941160209500848,5000,False
620,8,2,82464,0.005233763251453638,0.005263676751990931,0.00486731552398519,5000,False
930,8,0,82464,0.02090883068740368,0.02094032126994666,0.012551655442512273,5000,False
930,8,1,82464,0.013472435064613819,0.01352691452139519,0.012269912278500343,5000,False
930,8,2,82464,0.01739630289375782,0.01732341887978677,0.010729735138436454,5000,False
1395,8,0,82464,0.03945353254675865,0.03954728081253361,0.0231946766665767,5000,False
1395,8,1,82464,0.047988008707761765,0.04805607461931542,0.035650023908468415,5000,False
1395,8,2,82464,0.037385083734989166,0.037177290683828135,0.02934079423798462,5000,False
2093,8,0,82464,0.09991055727005005,0.10071319090734529,0.07412507938522321,5000,False
2093,8,1,82464,0.09818649291992188,0.09820836224792663,0.08283673841078955,5000,False
2093,8,2,82464,0.11663558334112167,0.11577178800814,0.09256489051186755,5000,False
3140,8,0,82464,0.20633746683597565,0.20681227715539943,0.1904306714893121,5000,False
3140,8,1,82464,0.19056718051433563,0.19102606071805084,0.18645574387230954,5000,False
3140,8,2,82464,0.19163401424884796,0.19087033794474118,0.1954554977568563,5000,False
16,16,0,82464,1.2921439520141575e-05,1.3427282277335064e-05,1.3427282277335064e-05,101,True
16,16,1,82464,1.3372335160966031e-05,1.2902860731099262e-05,1.2902860731099262e-05,101,True
16,16,2,82464,1.6040639820857905e-05,1.4833475524875397e-05,1.4833475524875397e-05,101,True
24,16,0,82464,2.1228392142802477e-05,2.1630130841311453e-05,2.1630130841311453e-05,101,True
24,16,1,82464,1.8448123228154145e-05,1.7797474112864456e-05,1.7797474112864456e-05,101,True
24,16,2,82464,2.1095940610393882e-05,1.9407935811471726e-05,1.9407935811471726e-05,101,True
36,16,0,82464,3.4554028388811275e-05,3.5246836086007733e-05,3.5246836086007733e-05,101,True
36,16,1,82464,3.253890827181749e-05,3.3694961761795346e-05,3.3694961761795346e-05,101,True
36,16,2,82464,3.790792834479362e-05,3.490523467256425e-05,3.490523467256425e-05,101,True
54,16,0,82464,0.0003676159249152988,0.00036051901141124826,0.00036051901141124826,101,True
